Year,Race,TrackType,Driver,Team,GridPosition,QualifyingPosition,RacePosition,Status,TopSpeed,NetPositionGain
2022,Italy,Permanent,STR,Aston Martin,12,18,18,Engine,324,
2022,Italy,Permanent,ALO,Alpine,6,10,19,Water pressure,332,
2022,Italy,Permanent,VET,Aston Martin,11,17,20,Engine,343,
2022,Singapore,Street,PER,Red Bull Racing,2,2,1,Finished,293,1
2022,Singapore,Street,LEC,Ferrari,1,1,2,Finished,294,-1
2022,Singapore,Street,SAI,Ferrari,4,4,3,Finished,294,1
2022,Singapore,Street,NOR,McLaren,6,6,4,Finished,284,2
2022,Singapore,Street,RIC,McLaren,16,17,5,Finished,279,11
2022,Singapore,Street,STR,Aston Martin,11,12,6,Finished,292,5
2022,Singapore,Street,VER,Red Bull Racing,8,8,7,Finished,291,1
2022,Singapore,Street,VET,Aston Martin,13,14,8,Finished,286,5
2022,Singapore,Street,HAM,Mercedes,3,3,9,Finished,287,-6
2022,Singapore,Street,GAS,AlphaTauri,7,7,10,Finished,293,-3
2022,Singapore,Street,BOT,Alfa Romeo,15,16,11,Finished,291,4
2022,Singapore,Street,MAG,Haas F1 Team,9,9,12,Finished,291,-3
2022,Singapore,Street,MSC,Haas F1 Team,12,13,13,+1 Lap,293,
2022,Singapore,Street,RUS,Mercedes,0,11,14,+2 Laps,292,
2022,Singapore,Street,TSU,AlphaTauri,10,10,15,Accident,,
2022,Singapore,Street,OCO,Alpine,17,18,16,Engine,,
2022,Singapore,Street,ALB,Williams,18,19,17,Collision damage,,
2022,Singapore,Street,ALO,Alpine,5,5,18,Engine,,
2022,Singapore,Street,LAT,Williams,19,20,19,Collision damage,,
2022,Singapore,Street,ZHO,Alfa Romeo,14,15,20,Collision,,
2022,Japan,Permanent,VER,Red Bull Racing,1,1,1,Finished,298,0
2022,Japan,Permanent,PER,Red Bull Racing,4,4,2,Finished,300,2
2022,Japan,Permanent,LEC,Ferrari,2,2,3,Finished,297,-1
2022,Japan,Permanent,OCO,Alpine,5,5,4,Finished,297,1
2022,Japan,Permanent,HAM,Mercedes,6,6,5,Finished,295,1
2022,Japan,Permanent,VET,Aston Martin,9,9,6,Finished,293,3
2022,Japan,Permanent,ALO,Alpine,7,7,7,Finished,297,0
2022,Japan,Permanent,RUS,Mercedes,8,8,8,Finished,295,0
2022,Japan,Permanent,LAT,Williams,20,20,9,Finished,311,11
2022,Japan,Permanent,NOR,McLaren,10,10,10,Finished,296,0
